+-----------+-----------------+-------------+------------------+------------+--------------+------------+--------------+------------+-----------------------+------------------+
|SCHEMA_NAME|TABLE_NAME       |COLUMN_ID    |COLUMN_NAME       |DATA_TYPE   |DATA_LENGTH   |DATA_SCALE  |CHAR_LENGTH   |DATA_DEFAULT|DBX_DATA_TYPE          |DBX_COLUMN_NAME   |
|STG        |STG_EMOT_BTNCDHDR|32.0000000000|LOCAL_FLAG_01     |VARCHAR2    |4.0000000000  |NULL        |1.0000000000  |NULL        |NULL                   |LOCAL_FLAG_01     |
|STG        |STG_EMOT_BTNCDHDR|33.0000000000|LOCAL_FLAG_02     |VARCHAR2    |4.0000000000  |NULL        |1.0000000000  |NULL        |NULL                   |LOCAL_FLAG_02     |
|STG        |STG_EMOT_BTNCDHDR|34.0000000000|LOCAL_FLAG_03     |VARCHAR2    |4.0000000000  |NULL        |1.0000000000  |NULL        |NULL                   |LOCAL_FLAG_03     |
|STG        |STG_EMOT_BTNCDHDR|35.0000000000|L_UPD_USR         |VARCHAR2    |80.0000000000 |NULL        |20.0000000000 |NULL        |NULL                   |L_UPD_USR         |
|STG        |STG_EMOT_BTNCDHDR|36.0000000000|L_UPD_TST         |TIMESTAMP(9)|11.0000000000 |9.0000000000|0.0000000000  |NULL        |NULL                   |L_UPD_TST         |
|STG        |STG_EMOT_BTNCDHDR|37.0000000000|TRIGGER_TRANSP_CN |VARCHAR2    |4.0000000000  |NULL        |1.0000000000  |NULL        |NULL                   |TRIGGER_TRANSP_CN |
|STG        |STG_EMOT_BTNCDHDR|38.0000000000|CREATE_USER       |VARCHAR2    |600.0000000000|NULL        |150.0000000000|NULL        |NULL                   |CREATE_USER       |
|STG        |STG_EMOT_BTNCDHDR|39.0000000000|CREATE_TS         |DATE        |7.0000000000  |NULL        |0.0000000000  |NULL        |CREATE_TS DATE         |CREATE_TS         |
|STG        |STG_EMOT_BTNCDHDR|40.0000000000|UPDATE_USER       |VARCHAR2    |600.0000000000|NULL        |150.0000000000|NULL        |NULL                   |UPDATE_USER       |
|STG        |STG_EMOT_BTNCDHDR|41.0000000000|UPDATE_TS         |DATE        |7.0000000000  |NULL        |0.0000000000  |NULL        |UPDATE_TS DATE         |UPDATE_TS         |
|STG        |STG_EMOT_BTNCDHDR|42.0000000000|ETL_JOB_NAME      |VARCHAR2    |600.0000000000|NULL        |150.0000000000|NULL        |NULL                   |ETL_JOB_NAME      |
|STG        |STG_EMOT_BTNCDHDR|43.0000000000|SOURCE            |VARCHAR2    |600.0000000000|NULL        |150.0000000000|NULL        |NULL                   |SOURCE            |
|STG        |STG_EMOT_BTNCDHDR|44.0000000000|LOAD_NR           |NUMBER      |22.0000000000 |NULL        |0.0000000000  |NULL        |NULL                   |LOAD_NR           |
+-----------+-----------------+-------------+------------------+------------+--------------+------------+--------------+------------+-----------------------+------------------+
